year,hires,terminations,net_change,net_change_percent
2000,211,26,185,99.94
2001,1082,197,885,99.98
2002,1012,161,851,99.98
2003,1088,188,900,99.98
2004,1087,190,897,99.98
2005,1038,166,872,99.98
2006,1069,169,900,99.99
2007,1058,139,919,99.99
2008,1061,137,924,99.99
2009,1094,141,953,99.99
2010,1050,119,931,99.99
2011,1057,107,950,99.99
2012,1059,102,957,99.99
2013,1042,89,953,99.99
2014,1014,81,933,99.99
2015,1011,69,942,99.99
2016,1076,62,1014,99.99
2017,1043,49,994,100.00
2018,1090,42,1048,100.00
2019,1038,45,993,100.00
2020,967,22,945,100.00
